UACE,NAME,STATE,PART,POP,HU,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,LSADC
10162,"Bridgeport--Stamford, CT--NY",09,P,877630,351934,1173077961,452.93,30099373,11.62,1937.7,75
18559,"Colchester, CT",09, ,10098,4229,37817674,14.6,731762,0.28,691.6,76
22096,"Danbury, CT--NY",09,P,161323,63526,324393088,125.25,9004672,3.48,1288,75
37243,"Hartford, CT",09, ,924859,388538,1337069590,516.25,23469901,9.06,1791.5,75
43115,"Jewett City, CT",09, ,10119,4425,20911401,8.07,750677,0.29,1253.3,76
47044,"Lake Pocotopaug--East Hampton, CT",09, ,9450,4145,26413573,10.2,2197159,0.85,926.6,76
50213,"Litchfield, CT",09, ,2590,1315,8312896,3.21,62477,0.02,806.9,76
58972,"Moodus, CT",09, ,2701,1286,10174135,3.93,473606,0.18,687.6,76
62407,"New Haven, CT",09, ,562839,239054,792818068,306.11,15838838,6.12,1838.7,75
63217,"New York--Newark, NY--NJ--CT",09,P,114,50,149116,0.06,0,0,1980.1,75
64135,"Norwich--New London, CT--RI",09,P,188041,85450,352743073,136.19,36301822,14.02,1380.7,75
83926,"Springfield, MA--CT",09,P,89711,34741,202891048,78.34,5274842,2.04,1145.2,75
84169,"Stafford Springs, CT",09, ,5581,2528,14875790,5.74,132265,0.05,971.7,76
88192,"Torrington, CT",09, ,42754,19764,65165535,25.16,989198,0.38,1699.2,76
92485,"Waterbury, CT",09, ,194535,81550,233763613,90.26,3911275,1.51,2155.4,75
95590,"Willimantic, CT",09, ,29669,11488,46265167,17.86,2757564,1.06,1660.9,76
97291,"Worcester, MA--CT",09,P,32928,14518,83658481,32.3,2505818,0.97,1019.4,75
,,,,,,,,,,,
